id,key,slug,name,category,audience,description,eligibility,documents,benefits,process,apply_link,state,language
scheme_csv_001,pm-kushal-vikas,pm-kushal-vikas,"Pradhan Mantri Kaushal Vikas Yojana (PMKVY)","Skill Development",youth,"Skill certification scheme aiming to enable a large number of Indian youth to take up industry-relevant skill training.","Any unemployed youth or school/college dropouts who are citizens of India.","Aadhaar Card, Bank Account Details, Education Certificates, Passport Size Photographs","Free skill training, assessment, and certification. Financial rewards upon successful completion and placement assistance.","Register online on the PMKVY portal, choose a training center and course, complete training, and appear for the assessment.",https://www.pmkvyofficial.org/,All India,en
scheme_csv_002,pm-suraksha-bima,pm-suraksha-bima,"Pradhan Mantri Suraksha Bima Yojana (PMSBY)","Insurance",public,"Government-backed accident insurance scheme in India targeting a wide section of the population.","All savings bank account holders aged between 18 and 70 years.","Aadhaar Card, Bank Account Details, KYC Documents","Accidental death and full disability cover of Rs. 2 Lakh; partial disability cover of Rs. 1 Lakh.","Submit the application form to your bank or register through internet banking with auto-debit consent.",https://www.jansuraksha.gov.in/,All India,en
scheme_csv_003,pm-jeevan-jyoti,pm-jeevan-jyoti,"Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)","Insurance",public,"Government-backed life insurance scheme in India providing annual term life insurance.","All savings bank account holders aged between 18 and 50 years.","Aadhaar Card, Bank Account Details, Health Declaration Form","Life cover of Rs. 2 Lakh in case of death of the insured due to any reason.","Fill the PMJJBY enrollment form at your banking branch or apply online via net banking.",https://www.jansuraksha.gov.in/,All India,en
scheme_csv_004,stand-up-india,stand-up-india,"Stand-Up India Scheme","Business & Entrepreneurship",entrepreneurs,"Scheme promoting entrepreneurship among women and Scheduled Castes or Scheduled Tribes.","SC/ST and/or women entrepreneurs above 18 years of age. Loan only for greenfield projects.","Identity Proof, Address Proof, Business Plan, Caste Certificate (if applicable), Assets & Liabilities Statement","Bank loans between Rs. 10 Lakh and Rs. 1 Crore for setting up a greenfield enterprise.","Apply online at Stand-Up India portal, connect with a branch counselor, and submit the loan application form.",https://www.standupmitra.in/,All India,en
scheme_csv_005,pm-mudra-yojana,pm-mudra-yojana,"Pradhan Mantri MUDRA Yojana (PMMY)","Business & Entrepreneurship",entrepreneurs,"Provides loans up to Rs. 10 Lakh to non-corporate, non-farm small/micro enterprises.","Any Indian citizen having a business plan for a non-farm sector income-generating activity.","MUDRA Application Form, Identity/Address Proof, Business Identity Proof, 2 Passport Photos","Collateral-free loans under three categories: Shishu (up to 50k), Kishor (50k-5L), and Tarun (5L-10L).","Approach a commercial bank, RRB, MFI, or cooperative bank, or apply online via Udyami Mitra portal.",https://www.mudra.org.in/,All India,en
scheme_csv_006,pm-ujjwala-yojana,pm-ujjwala-yojana,"Pradhan Mantri Ujjwala Yojana (PMUY)","Social Welfare",women,"Provides clean cooking fuel (LPG connections) to women from BPL (Below Poverty Line) households.","Adult woman belonging to a poor household without an existing LPG connection in the name of any family member.","Aadhaar Card, BPL Ration Card, Bank Account Details, Address Proof","Free LPG connection with financial support of Rs. 1,600 per connection plus interest-free loan for stove/refill.","Submit application form at nearest LPG distributor or apply online through the PMUY website.",https://www.pmuy.gov.in/,All India,en
scheme_csv_007,sukanya-samriddhi,sukanya-samriddhi,"Sukanya Samriddhi Yojana (SSY)","Women Empowerment",parent,"A small deposit scheme for the girl child, launched under the 'Beti Bachao Beti Padhao' campaign.","Parents or legal guardians of a girl child aged 10 years or below. Maximum 2 accounts per family.","Girl Child's Birth Certificate, Parent's Identity and Address Proof, Photo","High interest rate, tax benefits under Section 80C, and a maturity payout when the girl turns 21.","Open account at any post office or authorized commercial bank branches by submitting the form and deposit.",https://www.indiapost.gov.in/,All India,en
scheme_csv_008,pm-svanidhi,pm-svanidhi,"PM SVANidhi Scheme","Business & Entrepreneurship",vendors,"Special micro-credit facility scheme for providing affordable working capital loans to street vendors.","Urban street vendors vending in urban areas on or before March 24, 2020.","Aadhaar Card, Voter Card, Street Vendor ID Card or Letter of Recommendation (LoR)","Working capital loan up to Rs. 10,000 for 1st tranche, Rs. 20,000 for 2nd tranche, and Rs. 50,000 for 3rd tranche.","Apply online through PM SVANidhi Portal, or via a Banking Correspondent (BC)/Common Service Centre (CSC).",https://pmsvanidhi.mohua.gov.in/,All India,en
scheme_csv_009,day-nrlm,day-nrlm,"Deendayal Antyodaya Yojana - NRLM","Livelihoods",rural,"Organizes rural poor households into Self Help Groups (SHGs) and supports them for livelihoods.","At least one member from each rural poor household (preferably a woman) to be brought under SHG network.","SHG Member details, Aadhaar Card, Bank Account, Ration Card","Revolving fund, community investment fund support, interest subvention on loans, and capacity building.","Form a Self Help Group, register with block mission management unit, open bank account, and apply for revolving fund.",https://aajeevika.gov.in/,All India,en
scheme_csv_010,janani-suraksha,janani-suraksha,"Janani Suraksha Yojana (JSY)","Health & Family Welfare",pregnant_women,"Safe motherhood intervention promoting institutional delivery among poor pregnant women.","All pregnant women belonging to BPL/SC/ST households delivering in government or accredited private health facilities.","JSY Card, Bank Account Details, Address Proof, BPL Card","Cash assistance of Rs. 1,400 in rural areas and Rs. 700 in urban areas to the mother, and incentives to ASHA workers.","Register with the local auxiliary nurse midwife (ANM) or ASHA worker, fill JSY form, and deliver at institutional facility.",https://nhm.gov.in/,All India,en
