id,name,purpose,documents_required,process,link
passport,Indian Passport,"Official travel document for leaving and re-entering India","{""Proof of Address (Aadhaar/Utility Bill)"",""Proof of Date of Birth (Birth Certificate/10th Marksheet)"",""Photo Identity Proof"",""Non-ECR proof if applicable""}","{""Register on the Passport Seva Online Portal"",""Login and fill the application form online"",""Pay the required fee and schedule an appointment at the nearest PSK"",""Visit the Passport Seva Kendra with original documents"",""Complete the police verification process at your residence"",""Receive passport via speed post after verification""}",https://www.passportindia.gov.in/
voter_id,Voter ID Card (EPIC),"Proof of identity and eligibility to vote in elections","{""Proof of Address"",""Proof of Identity"",""Passport size photograph"",""Declaration Form 6""}","{""Visit the National Voters Service Portal (NVSP)"",""Fill Form 6 online for new voter registration"",""Upload age proof, address proof, and photograph"",""The Booth Level Officer (BLO) will visit your house for verification"",""After approval, the Voter ID card is printed and posted to your address""}",https://www.nvsp.in/
driving_license,Driving License,"Official document permitting operation of motor vehicles","{""Learner License"",""Address Proof"",""Age Proof"",""Form 1 and 1A (Medical Certificate if applicable)"",""Fee Payment Receipt""}","{""Apply for a Learner License online on Sarathi Parivahan portal"",""Take the online learner's test and pass it"",""After 30 days of Learner License, apply for permanent Driving License online"",""Book a slot for a driving test at the local RTO office"",""Appear for the driving test; if you pass, the DL will be dispatched by post""}",https://sarathi.parivahan.gov.in/
ration_card,Ration Card,"State-issued document for buying subsidized food grains","{""Aadhaar Cards of all family members"",""Income Proof"",""Residency Proof"",""Passport size photo of head of family""}","{""Visit the state food and civil supplies portal or local FCS office"",""Fill the Application Form for new Ration Card"",""Submit copies of Aadhaar cards and family income proofs"",""FCS inspectors conduct field verification"",""Receive ration card from the local fair price shop or download online""}",https://nfsa.gov.in/
birth_certificate,Birth Certificate,"Primary proof of birth, date, place, and parentage","{""Discharge certificate from hospital"",""Aadhaar Card of parents"",""Marriage certificate of parents (optional)"",""Identity proof of informant""}","{""Get a birth registration form from the municipal corporation or Gram Panchayat"",""Register the birth within 21 days at the local registrar office"",""Provide hospital discharge summary and parental identity documents"",""Pay the nominal fee for additional copies of the birth certificate"",""Collect the certificate from the municipal counter or download online""}",https://crsorgi.gov.in/
caste_certificate,Caste Certificate,"Official proof of belonging to a reserved category (SC/ST/OBC)","{""Aadhaar Card"",""Proof of residency"",""Father's caste certificate or community proof"",""Affidavit declaring caste status"",""Income certificate (for OBC non-creamy layer)""}","{""Apply online on the state e-District portal or at a local CSC center"",""Fill the application form and upload scanned copies of proofs"",""Application is forwarded to local Revenue Inspector / Tehsildar"",""Tehsildar verifies the caste history through local inquiry"",""Once approved, download the digitally signed caste certificate""}",https://www.myscheme.gov.in/
domicile_certificate,Domicile Certificate,"Proof that a person is a resident of a particular State/UT","{""Aadhaar Card"",""School leaving certificate showing residency"",""Land registry papers or rent agreement"",""Ration card or voter list entry"",""Affidavit in prescribed format""}","{""Login to your state's e-District website"",""Fill the residency / domicile certificate form"",""Submit proofs showing continuous residency for specified years (usually 5-15 years)"",""Local revenue authority (Patwari/Lekhpal) conducts verification"",""Download the issued Domicile Certificate from the portal""}",https://www.myscheme.gov.in/
marriage_certificate,Marriage Certificate,"Proof of legal registration of marriage","{""Application form signed by husband and wife"",""Proof of birth of both parties"",""Address proof before and after marriage"",""Two marriage photographs"",""Wedding invitation card"",""Witness identity proofs (usually 3 witnesses)""}","{""File an application online or at the Sub-Registrar's Office (SRO) in your area"",""Submit marriage invitation card, photos, and age/address proofs"",""Both partners and witnesses must appear before the Sub-Registrar on the appointed date"",""Under Hindu Marriage Act, certificate is issued in a few days. Under Special Marriage Act, a 30-day notice is posted"",""Collect the marriage certificate signed by the Registrar""}",https://www.india.gov.in/
disability_certificate,Disability Certificate (UDID Card),"Official identity card for persons with disabilities to claim benefits","{""Aadhaar Card"",""Address Proof"",""Recent passport size photograph"",""Medical reports showing disability details""}","{""Register on the Swavlambancard (UDID) portal"",""Fill the personal, address, and disability details in the online form"",""Select the government hospital for physical medical assessment"",""Visit the designated hospital on the scheduled date for medical board checkup"",""Medical board determines disability percentage, and UDID card is issued online and posted""}",https://www.swavlambancard.gov.in/
death_certificate,Death Certificate,"Official proof of death of an individual","{""Hospital death summary or post-mortem report"",""Aadhaar Card of the deceased"",""Identity proof of the applicant"",""Cremation/burial receipt""}","{""Report the death to the local registrar within 21 days of occurrence"",""Submit the hospital death report or declaration by local headman"",""Provide identity proofs of the deceased and applicant"",""Verify the entry in the death register of the local body"",""Collect the printed death certificate from municipal or panchayat office""}",https://crsorgi.gov.in/
minority_certificate,Minority Certificate,"Proof of belonging to a religious/linguistic minority community","{""Aadhaar Card"",""Self-declaration of community membership"",""School leaving certificate"",""Domicile Certificate"",""Parents' minority declaration or school record""}","{""Apply through the State Minorities Commission or e-District portal"",""Upload self-declaration of religion/linguistic community"",""Attach address and identity proofs"",""Revenue officer verifies the credentials"",""Obtain the digital certificate from the portal dashboard""}",https://www.minorityaffairs.gov.in/
senior_citizen_card,Senior Citizen Card,"Grants age concessions for travel, healthcare, and utility bills","{""Proof of Age (PAN Card/Birth Certificate)"",""Proof of Address"",""Two passport size photographs"",""Medical certificate showing blood group""}","{""Apply through the state Social Welfare Department portal or local municipal office"",""Fill the senior citizen registration form"",""Upload age proof (showing age 60 or above) and photo"",""Verification is done by social welfare officers"",""Collect the Senior Citizen ID Card which lists blood group, emergency contact, and age benefits""}",https://www.india.gov.in/
pan_card,PAN Card,"Permanent Account Number for all tax-related financial transactions","{""Aadhaar Card (serves as identity, address, and date of birth proof)"",""Recent passport size photographs (for physical forms)"",""Valid mobile number linked with Aadhaar""}","{""Visit NSDL (Protean) or UTIITSL website"",""Fill Form 49A online for Indian Citizens"",""Choose e-KYC option for instant digital PAN using Aadhaar OTP"",""Pay application fee of around Rs. 107 online"",""Physical PAN card will be delivered to your Aadhaar address, and e-PAN is sent to your email""}",https://www.onlineservices.nsdl.com/
aadhaar_card,Aadhaar Card,"12-digit unique identity number based on biometrics and demographics","{""Proof of Identity (Passport/Voter ID)"",""Proof of Address (Utility Bill/Bank statement)"",""Proof of Date of Birth (Birth Certificate/Marksheet)""}","{""Locate and book an appointment at the nearest Aadhaar Enrolment Centre"",""Fill the Aadhaar enrolment form at the center"",""Provide biometric data (iris scan, fingerprints) and a photograph"",""Submit copies of identity and address proofs for scanning"",""Receive an acknowledgment slip with EID; track status online and download e-Aadhaar""}",https://uidai.gov.in/
e_shram_card,e-Shram Card,"National database of unorganized workers to deliver social security benefits","{""Aadhaar Card"",""Aadhaar linked active mobile number"",""Bank Account details (account number and IFSC code)""}","{""Visit the e-Shram self-registration portal"",""Enter your Aadhaar-linked mobile number and solve captcha"",""Enter Aadhaar details and authenticate using OTP"",""Fill personal, address, qualification, occupation, and bank details"",""Verify the details and download the e-Shram card containing a 12-digit UAN number""}",https://eshram.gov.in/
udyam_registration,Udyam (MSME) Registration,"Official registration for small, micro, and medium enterprises to claim subsidies","{""Aadhaar Card of the proprietor/partner/director"",""PAN Card of the organization"",""GSTIN (if applicable)"",""Bank Account number and IFSC code""}","{""Visit the Udyam Registration portal"",""Enter Aadhaar number and name of entrepreneur, validate with OTP"",""Enter PAN card details and validate tax status"",""Provide business name, location, bank details, and investment figures"",""Submit and receive the Udyam Registration Certificate containing QR code instantly""}",https://udyamregistration.gov.in/
income_certificate,Income Certificate,"Proof of annual income of a family for fee concessions and scholarships","{""Aadhaar Card"",""Salary slip or Form 16 (for salaried)"",""Affidavit declaring non-salaried income"",""Ration card or electricity bill"",""Land records (for farmers)""}","{""Access the state e-District portal"",""Complete registration and fill the Income Certificate application form"",""Upload income declaration affidavit and supporting address proofs"",""Application undergoes review by the local revenue inspector"",""Download the digital certificate after approval from the Tehsildar""}",https://www.myscheme.gov.in/
