id,type,title,warning,action
11,scam,Electricity Bill Disconnection Scam,"Receiving text messages warning that electricity will be cut off tonight unless you call a specific mobile number or download an app.","Do not call the number. Contact the official electricity board helpline directly or check your bill on the official board website."
12,scam,Fake Customer Care Toll-Free Numbers,"Searching for customer care numbers on search engines can lead to fake numbers posted by scammers mimicking banks/airlines.","Only use customer care numbers found on official mobile apps, or printed on the back of your credit/debit cards."
13,scam,Part-Time Job / Telegram Task Scams,"Promises of earning thousands daily by doing simple tasks like liking videos, followed by demands to join investment groups.","Never transfer money to get high-paying simple tasks. Report such groups on the social app and cybercrime portal."
14,scam,Kaun Banega Crorepari WhatsApp Lottery,"Receiving audio messages and posters claiming you have won a lottery of Rs. 25 Lakh, requesting processing fees.","This is a 100% fake lottery scam. Do not pay any 'processing fee' or tax, and block the unknown number immediately."
15,scam,Courier Delivery Fraud (FedEx Scam),"Scammers call claiming a parcel sent by you contains illegal substances, demanding payment or bank details to avoid arrest.","No law agency or courier service demands online payment over a call to clear cases. Hang up and report immediately to 1930."
16,scam,Remote Device Access App Scam,"Scammers ask you to download apps like AnyDesk, TeamViewer, or RustDesk under the pretext of resolving a tech support problem.","Downloading these apps gives complete control of your screen and OTPs to the scammer. Never install remote access apps for strangers."
17,scam,Aadhaar Enabled Payment System (AePS) Fraud,"Biometric fingerprints copied from property papers or registry documents can be misused to withdraw money via AePS.","Lock your biometrics using the UIDAI portal or mAadhaar app. Unlock them temporarily only when you need to authenticate."
18,scam,Fake Government Subsidy Links,"Messages on WhatsApp claiming government is distributing free laptops, tablets, or solar panels if you click a link and forward it.","Check the URL domain. Government websites always end in .gov.in or .nic.in. Do not forward such unverified viral links."
19,scam,Urgent UPI Request Scam,"Scammers send UPI collect requests or QR codes, claiming that scanning the code will deposit money into your account.","You NEVER need to enter your UPI PIN or scan a QR code to receive money. Entering your PIN always deducts money from your account."
20,scam,Sextortion and Video Call Blackmail,"Receiving video calls from unknown numbers, which are recorded with obscene footage and used to blackmail you for money.","Do not pick up video calls from unknown numbers. If trapped, do not pay money. File a complaint immediately with the cyber police."
21,awareness,Always check Website URLs,"Scam sites use look-alike domain names such as 'pm-kisan-portal.in' instead of the official 'pmkisan.gov.in'.","Always ensure the website domain ends with '.gov.in' or '.nic.in' before submitting personal or banking data."
22,awareness,Protect your OTP and PINs,"No official, bank clerk, or helpline agent is authorized to ask for your bank OTP, PIN, password, or CVV.","Keep OTPs confidential. If anyone asks for it, treat them as a potential scammer and end the communication."
23,awareness,Secure your Social Media Accounts,"Compromised social media accounts are used by hackers to send urgent borrowing requests to your friends.","Enable Two-Factor Authentication (2FA) on WhatsApp, Facebook, and Instagram to prevent account hijacking."
24,awareness,Use DigiLocker for Safety","Carrying physical certificates can lead to theft, damage, or loss of critical citizenship proofs.","Download and sign up on DigiLocker to store and present digital, legally valid copies of driving licenses, marksheets, and Aadhaar."
25,awareness,Block Spam Calls via Sanchar Saathi,"Spam calls and fake SIM cards registered in your name can expose you to legal risks.","Visit the Sanchar Saathi portal (sancharsaathi.gov.in) to check the number of active SIMs linked to your Aadhaar card."
26,awareness,Keep Device Software Updated,"Outdated operating systems and applications have security vulnerabilities that hackers can exploit.","Turn on automatic updates on your mobile phones and computers to ensure you have the latest security patches."
27,awareness,Verify Charity / Donation Appeals","Scammers set up fake crowd-funding campaigns and UPI QR codes during disasters to siphon funds.","Donate only to recognized national funds (like PM CARES) or certified, verified NGOs after confirming their credentials."
28,awareness,Avoid Public Wi-Fi for Banking","Public open Wi-Fi networks at stations or cafes can be intercepted to capture usernames and passwords.","Use your private mobile data connection or a secure VPN when logging into net banking or mobile wallets."
29,awareness,Report Lost Mobile Phones Immediately","Lost phones with active SIMs allow thieves to reset passwords and access bank accounts via OTPs.","Contact your telecom provider to block the SIM immediately, and register the lost device on the CEIR portal."
30,awareness,Educate Family Members on Scams","Elderly parents and young teenagers are often the softest targets for online scammers.","Discuss common scam tactics at home and teach them never to share card details or make urgent financial decisions under pressure."
