id,name,number,category,availability,link
11,National Cyber Crime Helpline,1930,Cyber Safety,24x7,https://cybercrime.gov.in/
12,"Emergency Response Support System (ERSS)",112,Emergency Services,24x7,https://112.gov.in/
13,Women Helpline,1091,Women Safety,24x7,https://www.india.gov.in/
14,Child Helpline,1098,Child Welfare,24x7,https://www.childlineindia.org.in/
15,National Consumer Helpline,1915,Consumer Protection,24x7,https://consumerhelpline.gov.in/
16,Kisan Call Centre (Farmer Helpline),1800-180-1551,Agriculture,6 AM to 10 PM,https://agricoop.nic.in/
17,KIRAN Mental Health Helpline,1800-599-0019,Healthcare,24x7,https://socialjustice.gov.in/
18,Senior Citizen National Helpline (Elderline),14567,Senior Citizens,8 AM to 8 PM,https://socialjustice.gov.in/
19,National Highway Helpline,1033,Road Safety,24x7,https://nhai.gov.in/
20,Railway Inquiry Helpline,139,Travel Services,24x7,https://enquiry.indianrail.gov.in/
21,LPG Leakage Emergency Helpline,1906,Emergency Services,24x7,https://www.mylpg.in/
22,Disaster Management Helpline,1078,Emergency Services,24x7,https://ndma.gov.in/
23,AIDS Helpline (NACO),1097,Healthcare,24x7,http://naco.gov.in/
24,Anti-Ragging Helpline,1800-180-5522,Education,24x7,https://www.antiragging.in/
25,National Tourist Helpline,1363,Travel Services,24x7,https://www.tourism.gov.in/
26,Central Vigilance Commission (Anti-Corruption),1960,Governance,Office Hours,https://cvc.gov.in/
27,Income Tax Helpline,1800-180-1961,Financial Services,8 AM to 10 PM,https://www.incometax.gov.in/
28,UIDAI Aadhaar Helpline,1947,Identity Services,24x7,https://uidai.gov.in/
29,Elections Helpline,1950,Governance,Office Hours,https://eci.gov.in/
30,Blood Bank Helpline,104,Healthcare,24x7,https://www.redcross.org/
