id,title,category,url,description
11,National Portal of India,General Directory,https://www.india.gov.in/,"The single window access to information and services provided by various Indian government entities."
12,myScheme Portal,Scheme Discovery,https://www.myscheme.gov.in/,"A platform that helps citizens discover eligible government schemes based on their demographics."
13,UIDAI Official Portal,Identity Services,https://uidai.gov.in/,"Official website for Aadhaar card enrollment, updates, status checks, and e-download."
14,DigiLocker,Document Wallet,https://www.digilocker.gov.in/,"A cloud-based platform for issuance and verification of documents & certificates digitally."
15,National Scholarship Portal,Education,https://scholarships.gov.in/,"One-stop solution for student scholarships from central ministries and state governments."
16,PM Kisan Portal,Agriculture,https://pmkisan.gov.in/,"Official portal for landholding farmers to check eligibility, register, and check installment status."
17,Passport Seva Kendra,Travel Services,https://www.passportindia.gov.in/,"Online registration and appointment booking for obtaining or renewing Indian passports."
18,Income Tax Department,Tax Services,https://www.incometax.gov.in/,"Official e-filing portal for income tax returns, PAN links, and tax calculations."
19,National Cyber Crime Reporting Portal,Cyber Safety,https://cybercrime.gov.in/,"A portal for citizens to report cybercrimes online, especially crimes targeting women and children."
20,UMANG Web Portal,Citizen Services,https://web.umang.gov.in/,"Unified Mobile Application for New-age Governance, offering access to 1200+ services."
21,Sarathi Parivahan (RTO),Transport Services,https://sarathi.parivahan.gov.in/,"Ministry of Road Transport website for applying for Driving Licenses and Learner Licenses."
22,Udyam Registration Portal,Business Services,https://udyamregistration.gov.in/,"Official portal for registering micro, small, and medium enterprises (MSMEs) under MSME Ministry."
23,National Consumer Helpline,Consumer Protection,https://consumerhelpline.gov.in/,"A grievance redressal portal where consumers can file complaints against businesses or services."
24,National Career Service,Employment Services,https://www.ncs.gov.in/,"A portal matching job-seekers with employers, training institutes, and career counselors."
25,e-Shram Portal,Social Security,https://eshram.gov.in/,"National database of unorganized workers to facilitate social welfare schemes delivery."
26,Startup India,Business Services,https://www.startupindia.gov.in/,"A flagship initiative of the Government of India to build a strong ecosystem for nurturing innovation."
27,PM MUDRA Yojana Portal,Business Loans,https://www.mudra.org.in/,"Official portal describing collateral-free loans up to 10 Lakhs for micro-enterprises."
28,Central Vigilance Commission,Governance,https://cvc.gov.in/,"An apex government body to address corruption and promote integrity in public administration."
29,Voter Service Portal (ECI),Governance,https://voters.eci.gov.in/,"Official portal of the Election Commission of India for voter registration and updates."
30,Swachh Bharat Mission Portal,Sanitation,https://swachhbharatmission.ddws.gov.in/,"Official portal detailing sanitation, waste management schemes, and household toilet subsidies."
