id,question,answer,category
11,"How can I check the status of my Aadhaar card update?","You can check your Aadhaar status online by visiting the UIDAI MyAadhaar portal and entering your 14-digit Enrolment ID (EID) along with the date and time from the acknowledgment slip.",Aadhaar
12,"What is the difference between a PAN card and an e-PAN?","A physical PAN card is a plastic card sent by post, whereas an e-PAN is a digitally signed PAN card issued in electronic format. Both are equally valid for all financial and tax transactions.",PAN
13,"How do I link my mobile number to my bank account for DBT?","Visit your bank branch with your Aadhaar card and passbook, fill out the DBT enablement/Aadhaar seeding form, and submit it. Some banks also allow this via net banking or ATMs.",Banking
14,"What should I do if my debit card is lost or stolen?","Immediately call your bank's customer care helpline to block the card, or block it instantly using your mobile banking application or internet banking portal to prevent unauthorized transactions.",Banking
15,"How do I report a cybercrime or online financial fraud?","You can file a complaint online at the National Cyber Crime Reporting Portal (cybercrime.gov.in) or call the national cybercrime helpline number 1930 immediately.",Cyber Safety
16,"Can a student apply for multiple scholarships on the National Scholarship Portal?","While you can search and submit applications for multiple scholarships on NSP, you are generally eligible to receive only one scholarship per academic year, depending on the scheme terms.",Education
17,"Is my digital document in DigiLocker legally valid?","Yes, documents issued in DigiLocker are legally recognized on par with original physical documents under Rule 9A of the Information Technology (Preservation and Retention of Information by Intermediaries Providing Digital Locker Facilities) Rules, 2016.",DigiLocker
18,"What is PM Kisan e-KYC and is it mandatory?","Yes, e-KYC is mandatory for all PM Kisan beneficiaries to receive their financial benefits. You can complete it using OTP on the PM-Kisan portal or through biometrics at a nearby CSC center.",Agriculture
19,"How do I apply for a duplicate Voter ID card if my original is lost?","You can apply for a replacement Voter ID online on the Voter Service Portal (voters.eci.gov.in) by filling Form 8 and selecting the replacement category. A nominal fee or process may apply.",Voter ID
20,"What is the maximum income limit for getting an OBC Non-Creamy Layer certificate?","Currently, the family income threshold for the OBC Non-Creamy Layer status is Rs. 8 Lakh per annum. This excludes salary and agricultural income in certain cases.",Certificates
21,"How can I register my business under MSME?","You can register your enterprise free of cost on the official Udyam Registration portal (udyamregistration.gov.in). You only need your Aadhaar card, PAN, and basic business details.",Business
22,"How do I know if my ration card is active?","You can check your ration card status on your state's Food and Civil Supplies Department portal by entering your Ration Card number, or via the Mera Ration mobile application.",Ration
23,"What is the validity period of an Income Certificate?","The validity of an Income Certificate depends on state rules, but it is typically valid for one financial year from its date of issue.",Certificates
24,"What is the KIRAN helpline?","KIRAN (1800-599-0019) is a free, 24/7 national helpline launched by the government to provide mental health support, counseling, and crisis management.",Helpline
25,"Who should I contact if a government official demands a bribe?","You can report corruption or bribe demands to the State Anti-Corruption Bureau (ACB) or the Vigilance Department. You can also file a complaint with the Central Vigilance Commission (CVC) online.",Governance
26,"How do I apply for a Senior Citizen Card?","You can apply through your state's e-District portal or local social welfare department. You will need proof of age (showing 60+ years), address proof, and photographs.",Certificates
27,"What is the PM SVANidhi scheme?","PM SVANidhi is a micro-credit scheme that provides working capital loans of up to Rs. 10,000 (with subsequent higher tranches) to street vendors to restart their businesses.",Business
28,"Can I track my speed post passport delivery online?","Yes, once your passport is dispatched, you will receive a tracking number via SMS. You can track its location on the India Post tracking website (indiapost.gov.in).",Passport
29,"How do I update my address on my Driving License?","You can apply for a 'Change of Address' on the Sarathi Parivahan portal. You will need to upload your current DL and valid address proof, pay the fee, and submit.",Driving License
30,"What is an e-Shram card and who is eligible?","The e-Shram card is for unorganized workers (like laborers, construction workers, street vendors, domestic help) aged 16-59. It helps them receive social security schemes directly.",Social Security
