id,title,category,summary,date,link
11,Advisory on Part-time Job Scams,Advisory,"Ministry of Home Affairs warns citizens against online part-time job offers via WhatsApp/Telegram that ask for investments.",2026-06-01,https://cybercrime.gov.in/
12,PAN-Aadhaar Linking Deadline Extended,Notification,"The Central Board of Direct Taxes (CBDT) has extended the deadline for linking PAN with Aadhaar card to prevent PAN deactivation.",2026-06-02,https://www.incometax.gov.in/
13,Launch of PM Vishwakarma Scheme Portal,New Scheme,"Prime Minister launches the new portal for PM Vishwakarma, allowing traditional artisans to register and claim incentives.",2026-06-03,https://pmvishwakarma.gov.in/
14,Alert: Fake Electricity Bill SMS,Advisory,"Power grid companies warn consumers not to click links in messages claiming their electricity will be disconnected.",2026-06-04,https://cybercrime.gov.in/
15,NSP Open for Fresh Registrations,Scholarships,"National Scholarship Portal is now open for pre-matric and post-matric applications for the academic year 2026-27.",2026-06-05,https://scholarships.gov.in/
16,Mandatory e-KYC for PM Kisan Beneficiaries,Notification,"Department of Agriculture reminds all registered landholders to complete biometric or OTP e-KYC before the next payout.",2026-06-06,https://pmkisan.gov.in/
17,New Guidelines for DigiLocker Accounts,Notification,"DigiLocker enhances user security by introducing six-digit PIN and two-factor authentication for government document access.",2026-06-07,https://www.digilocker.gov.in/
18,Digital India Internship Applications Open,Careers,"Ministry of Electronics & IT invites applications for the summer batch of Digital India Internship Scheme from tech graduates.",2026-06-08,https://www.meity.gov.in/
19,Advisory: Do Not Share OTP for Courier Delivery,Advisory,"Police departments caution citizens against OTP sharing with delivery agents demanding fees for unexpected packages.",2026-06-09,https://cybercrime.gov.in/
20,PM Awas Yojana Gramin Direct Benefit Transfer,Notification,"First installment of house building subsidy transferred directly to over 50,000 rural beneficiaries under PMAY-G.",2026-06-10,https://pmayg.nic.in/
21,UDID Card Registration Drives in Rural Districts,Social Welfare,"Ministry of Social Justice organizes block-level camps to identify and register specially-abled citizens for UDID cards.",2026-06-10,https://www.swavlambancard.gov.in/
22,Udyam MSME Registration Reaches Milestone,Announcement,"Ministry of MSME announces that active Udyam registrations have crossed 2 Crore, enabling small businesses to access credit.",2026-06-10,https://udyamregistration.gov.in/
23,Advisory against Fake Government Websites,Advisory,"National Informatics Centre publishes a guide on identifying fake websites mimicking official government domains.",2026-06-10,https://www.india.gov.in/
24,Unified Highway Helpline 1033 Operational,Services,"NHAI announces nationwide activation of 1033 helpline for emergency support and towing services on national highways.",2026-06-10,https://nhai.gov.in/
25,Free Soil Testing Scheme for Farmers,Agriculture,"Krishi Vigyan Kendras organize free soil testing campaigns to help farmers optimize fertilizer application for kharif crops.",2026-06-10,https://pmkisan.gov.in/
26,Central Consumer Protection Authority Advisory,Advisory,"CCPA issues guidelines to prevent unfair trade practices and misleading advertisements on e-commerce platforms.",2026-06-10,https://consumerhelpline.gov.in/
27,E-Shram Portal Integrates with NCS,Notification,"Workers registered on e-Shram can now search and apply for jobs on the National Career Service portal with one click.",2026-06-10,https://eshram.gov.in/
28,Railway Security App Features Upgraded,Services,"Indian Railways upgrades the safety app with direct video-calling to local RPF assistance booths for female passengers.",2026-06-10,https://enquiry.indianrail.gov.in/
29,Special Ayushman Card Campaign in Urban Slums,Healthcare,"Municipal corporations launch a 15-day drive to register daily-wage workers for the PM-JAY health insurance scheme.",2026-06-10,https://beneficiary.nha.gov.in/
30,Consumer Grievance Redressal Fortnight,Announcement,"National Consumer Helpline organizes a fortnight dedicated to resolving pending service provider complaints.",2026-06-10,https://consumerhelpline.gov.in/
